date,1,2,3,4,5
2018-03-01,31.0,7.0,6.0,13.0,68.0
2018-03-02,23.0,1.0,4.0,5.0,61.0
2018-03-03,28.0,2.0,3.0,15.0,65.0
2018-03-04,33.0,6.0,4.0,18.0,68.0
2018-03-05,28.0,5.0,9.0,10.0,59.0
2018-03-06,54.0,13.0,10.0,14.0,44.0
2018-03-07,21.0,4.0,10.0,15.0,56.0
2018-03-08,14.0,0.0,6.0,9.0,38.0
2018-03-09,22.0,6.0,7.0,8.0,45.0
2018-03-10,19.0,2.0,7.0,11.0,55.0
2018-03-11,26.0,3.0,5.0,18.0,38.0
2018-03-12,21.0,2.0,8.0,3.0,56.0
2018-03-13,30.0,2.0,4.0,11.0,66.0
2018-03-14,16.0,0.0,12.0,6.0,58.0
2018-03-15,24.0,3.0,3.0,5.0,56.0
2018-03-16,27.0,2.0,8.0,12.0,53.0
2018-03-17,24.0,5.0,8.0,10.0,59.0
2018-03-18,16.0,4.0,7.0,10.0,75.0
2018-03-19,22.0,0.0,7.0,15.0,63.0
2018-03-20,31.0,3.0,13.0,13.0,90.0
2018-03-21,30.0,4.0,9.0,16.0,129.0
2018-03-22,49.0,8.0,12.0,8.0,74.0
2018-03-23,22.0,5.0,5.0,12.0,99.0
2018-03-24,23.0,1.0,6.0,9.0,67.0
2018-03-25,22.0,4.0,5.0,6.0,58.0
2018-03-26,22.0,3.0,5.0,17.0,64.0
2018-03-27,25.0,7.0,4.0,13.0,60.0
2018-03-28,21.0,5.0,6.0,7.0,53.0
2018-03-29,19.0,6.0,8.0,11.0,53.0
2018-03-30,21.0,1.0,10.0,11.0,36.0
2018-03-31,24.0,1.0,4.0,9.0,47.0
2018-04-01,23.0,5.0,7.0,18.0,67.0
2018-04-02,21.0,8.0,11.0,15.0,74.0
2018-04-03,38.0,6.0,6.0,14.0,68.0
2018-04-04,31.0,1.0,4.0,10.0,71.0
2018-04-05,21.0,2.0,8.0,23.0,68.0
2018-04-06,28.0,5.0,7.0,8.0,47.0
2018-04-07,19.0,5.0,5.0,10.0,62.0
2018-04-08,37.0,4.0,3.0,10.0,78.0
2018-04-09,28.0,7.0,5.0,15.0,63.0
2018-04-10,21.0,5.0,8.0,9.0,60.0
2018-04-11,20.0,5.0,6.0,9.0,55.0
2018-04-12,37.0,3.0,5.0,12.0,67.0
2018-04-13,28.0,2.0,6.0,12.0,57.0
2018-04-14,21.0,1.0,7.0,9.0,64.0
2018-04-15,21.0,5.0,5.0,9.0,66.0
2018-04-16,30.0,7.0,11.0,15.0,71.0
2018-04-17,29.0,5.0,11.0,14.0,86.0
2018-04-18,33.0,5.0,9.0,8.0,100.0
2018-04-19,28.0,5.0,8.0,5.0,55.0
2018-04-20,18.0,7.0,8.0,11.0,79.0
2018-04-21,26.0,4.0,9.0,12.0,61.0
2018-04-22,27.0,5.0,5.0,9.0,60.0
2018-04-23,21.0,3.0,6.0,16.0,61.0
2018-04-24,15.0,3.0,3.0,5.0,66.0
2018-04-25,16.0,2.0,5.0,9.0,53.0
2018-04-26,24.0,3.0,7.0,13.0,62.0
2018-04-27,29.0,3.0,2.0,14.0,70.0
2018-04-28,15.0,6.0,10.0,4.0,64.0
2018-04-29,27.0,4.0,7.0,5.0,45.0
2018-04-30,21.0,4.0,4.0,15.0,54.0
2018-05-01,28.0,2.0,7.0,6.0,58.0
2018-05-02,47.0,5.0,18.0,19.0,83.0
2018-05-03,25.0,1.0,10.0,16.0,80.0
2018-05-04,30.0,3.0,2.0,16.0,78.0
2018-05-05,26.0,1.0,6.0,20.0,107.0
2018-05-06,29.0,5.0,18.0,18.0,119.0
2018-05-07,40.0,7.0,12.0,18.0,133.0
2018-05-08,35.0,7.0,13.0,14.0,111.0
2018-05-09,32.0,3.0,9.0,22.0,105.0
2018-05-10,34.0,5.0,8.0,21.0,102.0
2018-05-11,35.0,2.0,17.0,23.0,75.0
2018-05-12,40.0,6.0,7.0,18.0,100.0
2018-05-13,45.0,5.0,12.0,21.0,120.0
2018-05-14,30.0,3.0,6.0,21.0,95.0
2018-05-15,5.0,2.0,3.0,3.0,16.0
